日期,編號,項目,狀態,負責人,備註,單位,客戶,耗時分鐘,金額
2026/7/3,L266118,A 類,合格,OP-132,,品保,力鋼,196,62.8
2026/6/5,L260435,C 類,不合格,OP-107,,資材,大宏,177,35.71
6月7日,L265920,B 類,合格,OP-147,,品保,順發,167,79.04
0704,L261134,B 類,不合格,OP-121,待確認,品保,力鋼,175,80.66
0622,L266115,其他,已結案,OP-131,,營運,順發,20,7.47
2026/7/16,L261736,A 類,合格,OP-141,,資材,順發,48,9.66
2026/6/2,L261095,其他,,OP-104,已回報,研發,力鋼,114,81.18
0725,L266455,B 類,合格,OP-123,,營運,捷欣,131,39.93
6月25日,L269574,C 類,待處理,OP-115,,研發,力鋼,233,9.91
2026/6/9,L266642,C 類,,OP-141,已回報,資材,順發,171,38.41
0724,L262640,B 類,合格,OP-134,待確認,資材,東昇,147,85.73
0712,L265767,B 類,合格,OP-142,,製造,永利,173,97.6
2026/7/14,L261099,C 類,合格,OP-102,,研發,力鋼,147,30.54
7月9日,L265296,A 類,,OP-113,,研發,力鋼,91,96.95
7月29日,L268764,C 類,已結案,OP-144,,資材,永利,217,42.43
2026/6/15,L262880,C 類,已結案,OP-141,已回報,資材,順發,184,18.82
0720,L262727,B 類,,OP-111,,營運,大宏,117,21.83
0623,L263012,其他,合格,OP-109,已回報,營運,順發,158,37.92
7月15日,L264017,A 類,,OP-124,,研發,順發,56,39.29
2026/6/29,L262253,B 類,,OP-112,已回報,品保,捷欣,239,91.83
0628,L264640,C 類,不合格,OP-108,已回報,營運,順發,213,58.33
6月24日,L260264,C 類,待處理,OP-148,,研發,大宏,220,49.49
0602,L260551,C 類,已結案,OP-148,,品保,大宏,9,40.13
6月22日,L267856,C 類,不合格,OP-139,,品保,捷欣,216,68.68
0711,L261381,A 類,已結案,OP-104,,製造,順發,176,88.75
2026/7/25,L260830,其他,待處理,OP-141,待確認,研發,東昇,47,83.51
2026/6/2,L269084,C 類,待處理,OP-112,,製造,永利,77,74.29
0609,L266398,B 類,待處理,OP-122,,營運,捷欣,171,57.12
6月16日,L268996,A 類,不合格,OP-133,,資材,捷欣,185,69.02
2026/6/2,L262751,C 類,已結案,OP-147,,研發,大宏,237,92.04
2026/7/5,L262165,C 類,,OP-106,,品保,東昇,24,62.55
7月1日,L263418,其他,已結案,OP-118,,品保,捷欣,15,88.74
7月18日,L264316,B 類,待處理,OP-102,,營運,捷欣,70,75.24
2026/7/16,L264916,其他,不合格,OP-129,待確認,製造,力鋼,57,78.28
0601,L263462,C 類,不合格,OP-110,已回報,品保,捷欣,184,18.19
7月1日,L266762,其他,不合格,OP-127,已回報,品保,東昇,24,4.75
0601,L269290,A 類,不合格,OP-124,待確認,品保,永利,83,89.84
2026/7/12,L268068,A 類,,OP-114,待確認,營運,力鋼,65,49.07
0601,L268371,B 類,,OP-133,,資材,力鋼,236,47.14
0601,L263448,A 類,,OP-105,,研發,大宏,59,51.02
6月21日,L266736,其他,已結案,OP-148,待確認,資材,東昇,57,1.8
2026/7/25,L263434,其他,不合格,OP-108,,製造,捷欣,164,14.2
6月11日,L261668,A 類,已結案,OP-123,,研發,東昇,126,3.81
0710,L269072,其他,,OP-113,,營運,順發,173,62.65
2026/7/30,L261626,C 類,,OP-108,已回報,資材,永利,114,28.21
2026/6/19,L264979,其他,合格,OP-114,,資材,捷欣,195,77.29
6月22日,L265852,B 類,已結案,OP-145,,資材,順發,109,19.97
7月5日,L265384,其他,待處理,OP-128,待確認,品保,東昇,49,64.4
0627,L261533,A 類,待處理,OP-109,,營運,大宏,232,87.13
2026/6/25,L266335,B 類,,OP-126,,營運,力鋼,165,88.4
2026/7/21,L263214,其他,待處理,OP-132,,製造,順發,171,85.15
0611,L262679,A 類,不合格,OP-129,,營運,永利,201,63.92
2026/7/9,L264050,A 類,不合格,OP-114,已回報,營運,順發,106,93.97
0724,L260826,C 類,不合格,OP-143,,製造,東昇,152,13.23
6月6日,L261241,B 類,合格,OP-142,,研發,大宏,134,24.49
0718,L264176,A 類,,OP-107,已回報,資材,捷欣,144,75.04
0701,L261317,其他,不合格,OP-113,待確認,資材,捷欣,218,66.18
0730,L263795,其他,合格,OP-130,,資材,永利,53,15.02
0714,L264361,B 類,,OP-128,待確認,營運,順發,12,56.4
0618,L261689,C 類,合格,OP-120,,研發,捷欣,44,73.36
2026/7/2,L267697,B 類,不合格,OP-144,,資材,捷欣,189,52.89
2026/7/19,L260359,A 類,合格,OP-143,待確認,研發,東昇,40,86.81
6月14日,L261061,其他,不合格,OP-128,待確認,營運,順發,205,35.0
7月30日,L265676,B 類,待處理,OP-104,,製造,捷欣,188,28.72
7月6日,L260329,A 類,待處理,OP-123,,營運,永利,8,62.53
6月25日,L265276,其他,不合格,OP-138,待確認,營運,大宏,30,35.95
2026/7/19,L268675,C 類,,OP-118,,品保,大宏,218,93.26
0710,L269476,C 類,,OP-114,,研發,力鋼,219,82.12
0605,L267854,其他,待處理,OP-101,,營運,順發,78,68.35
6月12日,L262739,其他,,OP-124,待確認,營運,捷欣,110,31.05
6月1日,L266473,B 類,不合格,OP-138,已回報,營運,力鋼,194,64.61
0711,L261177,C 類,已結案,OP-125,,研發,永利,90,95.51
2026/7/6,L265469,B 類,已結案,OP-126,,營運,順發,114,76.88
7月16日,L266841,B 類,,OP-145,,製造,東昇,17,63.42
2026/6/2,L266542,其他,合格,OP-121,,研發,順發,202,86.34
6月16日,L268049,C 類,不合格,OP-123,,品保,順發,227,41.35
0608,L262944,B 類,合格,OP-106,,品保,捷欣,222,63.79
2026/7/24,L260781,B 類,不合格,OP-136,已回報,製造,捷欣,39,76.6
0706,L261811,C 類,不合格,OP-129,已回報,資材,力鋼,80,36.48
0617,L264153,B 類,不合格,OP-139,,資材,大宏,77,25.62
7月5日,L262146,C 類,不合格,OP-108,已回報,研發,大宏,58,9.73
6月9日,L266396,B 類,已結案,OP-148,,營運,捷欣,71,57.97
2026/7/16,L267415,其他,,OP-103,,營運,東昇,82,30.96
0716,L261411,A 類,,OP-130,已回報,營運,東昇,200,4.41
7月28日,L263159,其他,已結案,OP-130,待確認,製造,永利,151,18.97
2026/7/23,L268637,C 類,已結案,OP-120,,研發,順發,205,33.33
2026/7/6,L268612,B 類,,OP-134,,品保,永利,162,11.22
2026/7/15,L261250,B 類,已結案,OP-101,,製造,捷欣,152,15.12
