日期,編號,項目,狀態,負責人,備註,單位,客戶,耗時分鐘,金額
2025-06-28,L269250,其他,合格,OP-129,待確認,品保,大宏,74,66.83
2025-06-24,L263523,A 類,合格,OP-113,,品保,東昇,51,50.69
2025-06-17,L265127,B 類,合格,OP-110,,資材,捷欣,85,30.67
2025-07-18,L269212,A 類,待處理,OP-115,已回報,製造,捷欣,148,62.25
2025-06-17,L260863,C 類,待處理,OP-108,,品保,東昇,21,47.48
2025-07-05,L264932,其他,已結案,OP-114,,研發,永利,227,31.35
2025-06-06,L269162,B 類,合格,OP-127,待確認,製造,東昇,23,79.09
2025-07-29,L261759,C 類,不合格,OP-123,已回報,營運,永利,171,91.41
2025-06-15,L265967,其他,待處理,OP-108,,資材,永利,156,65.44
2025-06-01,L266879,其他,合格,OP-126,待確認,資材,捷欣,187,58.24
2025-06-24,L262924,A 類,合格,OP-111,,品保,力鋼,66,16.57
2025-06-11,L260359,A 類,待處理,OP-101,待確認,品保,順發,26,51.7
2025-06-08,L269885,C 類,已結案,OP-114,,營運,力鋼,207,45.53
2025-07-02,L266620,其他,不合格,OP-134,,資材,永利,40,69.29
2025-07-24,L264029,C 類,已結案,OP-134,待確認,營運,力鋼,128,56.84
2025-06-30,L268951,B 類,合格,OP-135,,品保,力鋼,102,93.79
2025-06-02,L269089,A 類,不合格,OP-110,已回報,研發,東昇,42,94.23
2025-07-23,L266288,A 類,不合格,OP-143,已回報,研發,東昇,39,22.9
2025-06-27,L266042,B 類,待處理,OP-122,,製造,大宏,151,44.31
2025-07-19,L262572,A 類,待處理,OP-112,已回報,資材,力鋼,216,10.36
2025-06-05,L266614,A 類,待處理,OP-135,,資材,永利,237,77.22
2025-06-24,L265260,B 類,合格,OP-130,,資材,永利,104,71.96
2025-06-28,L262278,A 類,不合格,OP-139,,品保,捷欣,20,58.18
2025-07-10,L268234,B 類,已結案,OP-114,,品保,順發,184,22.13
2025-07-24,L267951,A 類,不合格,OP-105,,研發,大宏,77,1.89
2025-07-19,L268731,C 類,待處理,OP-127,已回報,營運,東昇,144,0.67
2025-06-09,L266829,其他,已結案,OP-147,已回報,品保,捷欣,202,12.84
2025-06-29,L269791,C 類,待處理,OP-116,,製造,力鋼,205,48.83
2025-07-01,L265868,B 類,合格,OP-125,待確認,研發,東昇,155,18.6
2025-07-21,L269310,B 類,不合格,OP-148,已回報,研發,東昇,171,91.8
2025-07-06,L260031,C 類,不合格,OP-143,,研發,永利,76,66.3
2025-06-27,L266856,其他,合格,OP-136,待確認,製造,力鋼,51,27.78
2025-06-18,L260564,C 類,不合格,OP-132,,研發,順發,144,51.3
2025-06-11,L267776,其他,已結案,OP-112,已回報,資材,大宏,36,88.85
2025-07-05,L266554,A 類,已結案,OP-114,待確認,研發,東昇,189,80.99
2025-06-18,L269669,其他,合格,OP-129,,製造,順發,108,83.35
2025-06-02,L268517,C 類,合格,OP-135,,資材,捷欣,75,72.2
2025-06-04,L267922,其他,合格,OP-123,,營運,東昇,49,39.2
2025-07-26,L263859,其他,已結案,OP-138,,品保,永利,107,10.75
2025-07-26,L263475,A 類,不合格,OP-126,,研發,捷欣,203,50.59
2025-06-19,L262728,A 類,不合格,OP-143,,品保,永利,55,50.73
